Model,CONTROL,TRAP,Dropoff
Claude Opus 4.5,61.53846153846154,68.75,-7.21153846153846
GPT-4o Mini,3.8461538461538463,2.083333333333333,1.7628205128205132
gpt-4o,15.384615384615385,4.166666666666666,11.217948717948719
gpt-5,69.23076923076923,62.5,6.730769230769226
o4-mini,57.692307692307686,56.25,1.4423076923076863
