model,cell,regime,n,correct,compliance,competence,completed_rate,final_correct_rate,mag_correct_rate,sign_given_mag_rate,extract_issues
qwen3-8b-think,ccw,control,124,0,0,124,0.2823,0.0000,0.0000,nan,86
qwen3-8b-think,ccw,trap,126,0,5,121,0.2302,0.0000,0.0397,0.0000,95
qwen3-8b-think,dflt,all,250,4,3,243,0.2600,0.0160,0.0280,0.5714,182
qwen3-8b-think,dflt,control,124,2,2,120,0.2661,0.0161,0.0323,0.5000,90
qwen3-8b-think,dflt,trap,126,2,1,123,0.2540,0.0159,0.0238,0.6667,92
qwen3-8b-think,top,all,250,0,1,249,0.2560,0.0000,0.0040,0.0000,186
qwen3-8b-think,top,control,124,0,0,124,0.2258,0.0000,0.0000,nan,96
qwen3-8b-think,top,trap,126,0,1,125,0.2857,0.0000,0.0079,0.0000,90
r1-distill-32b,act,all,7,0,0,7,0.8571,0.0000,0.0000,nan,1
r1-distill-32b,act,control,4,0,0,4,0.7500,0.0000,0.0000,nan,1
r1-distill-32b,act,trap,3,0,0,3,1.0000,0.0000,0.0000,nan,0
r1-distill-32b,ccw,all,6,0,1,5,1.0000,0.0000,0.1667,0.0000,0
r1-distill-32b,ccw,control,2,0,0,2,1.0000,0.0000,0.0000,nan,0
r1-distill-32b,ccw,trap,4,0,1,3,1.0000,0.0000,0.2500,0.0000,0
r1-distill-32b,dflt,all,5,0,0,5,0.6000,0.0000,0.0000,nan,2
r1-distill-32b,dflt,control,1,0,0,1,0.0000,0.0000,0.0000,nan,1
r1-distill-32b,dflt,trap,4,0,0,4,0.7500,0.0000,0.0000,nan,1
r1-distill-32b,top,all,5,0,0,5,0.8000,0.0000,0.0000,nan,1
r1-distill-32b,top,control,4,0,0,4,0.7500,0.0000,0.0000,nan,1
r1-distill-32b,top,trap,1,0,0,1,1.0000,0.0000,0.0000,nan,0
